From	To
P02568	ACTA1
P02568	Acta1
P02570	ACTB
P02570	Actb
Q13813	SPTAN1
Q01082	SPTBN1
P13796	LCP1
P26038	MSN
O75083	WDR1
P31146	CORO1A
P52907	CAPZA1
P23528	CFL1
P07737	PFN1
O88386	RAB10
O88386	Rab10
O95613	PCNT
Q14204	DYNC1H1
Q14008	CKAP5
Q96RT7	TUBGCP6
Q96RT8	TUBGCP5
Q96CW5	TUBGCP3
Q9BSJ2	TUBGCP2
P07900	HSP90AA1
Q9UGJ1	TUBGCP4
Q13409	DYNC1I2
P53350	PLK1
P30153	PPP2R1A
P51955	NEK2
P23258	TUBG1
P05209	TUBA1A
P05209	TUBA1B
P05215	TUBA4A
P05215	Tuba4a
P05217	TUBB4B
P05217	Tubb4b
P05218	TUBB
P05218	TUBB5
P05218	Tubb5
P48730	CSNK1D
P49674	CSNK1E
P43034	PAFAH1B1
P31323	PRKAR2B
P42024	ACTR1A
P42024	Actr1a
P17612	PRKACA
P06493	CDK1
Q15691	MAPRE1
P42655	YWHAE
P42655	Ywhae
P35214	YWHAG
P35214	Ywhag
P41208	CETN2
O15182	CETN3
Q15701	DYNLL1
Q15701	Dynll1
P22314	UBA1
O00139	KIF2A
Q9P2S5	WRAP73
Q9Y5B8	NME7
O15078	CEP290
O75665	OFD1
O43303	CCP110
O43805	SSNA1
Q92598	HSPH1
P08238	HSP90AB1
P11142	HSPA8
P17987	TCP1
P50990	CCT8
P48643	CCT5
Q99832	CCT7
P40227	CCT6A
P50991	CCT4
P78371	CCT2
O60884	DNAJA2
P31689	DNAJA1
O75506	HSBP1
Q8WYJ6	SEPTIN1
P13010	XRCC5
P12956	XRCC6
Q15185	PTGES3
P04908	H2AC4
P04908	H2AC8
Q99880	H2BC13
Q16531	DDB1
P33991	MCM4
Q14566	MCM6
P33993	MCM7
P27694	RPA1
Q99871	HAUS7
P04844	RPN2
Q9HBI0	PARVG
P35908	KRT2
P04264	KRT1
P13647	KRT5
P48669	KRT6B
P02533	KRT14
P43403	ZAP70
P06239	LCK
P14786	PKM
P00558	PGK1
P28482	MAPK1
P48729	CSNK1A1
Q00534	CDK6
P09329	PRPS1
P09329	Prps1
P13862	CSNK2B
P13862	Csnk2b
O43684	BUB3
P07355	ANXA2
P49327	FASN
P07814	EPRS1
P53396	ACLY
P22102	GART
P56192	MARS1
P11586	MTHFD1
O95573	ACSL3
P51659	HSD17B4
O94808	GFPT2
O14975	SLC27A2
P29401	TKT
P31939	ATIC
Q01581	HMGCS1
P12268	IMPDH2
P48735	IDH2
P22234	PAICS
P06733	ENO1
Q00266	MAT1A
P04075	ALDOA
P00338	LDHA
P04406	GAPDH
P32322	PYCR1
P18669	PGAM1
P00938	TPI1
P32119	PRDX2
P54886	ALDH18A1
P38646	HSPA9
P10809	HSPD1
P25705	ATP5F1A
P06576	ATP5F1B
Q15118	PDK1
O43837	IDH3B
Q00325	SLC25A3
Q16698	DECR1
Q16836	HADH
P05141	SLC25A5
P12236	SLC25A6
P35580	MYH10
P35579	MYH9
Q02241	KIF23
Q01813	PFKP
O43175	PHGDH
P05092	PPIA
P43243	MATR3
Q9NR30	DDX21
O00571	DDX3X
Q92841	DDX17
P20700	LMNB1
Q15233	NONO
P08670	VIM
Q07244	HNRNPK
Q07244	Hnrnpk
P55209	NAP1L1
P51991	HNRNPA3
P22087	FBL
P06748	NPM1
P28001	H2AC4
P28001	H2AC8
P33778	HIST1H2BB
P37140	PPP1CB
P37140	Ppp1cb
Q15181	PPA1
Q13303	KCNAB2
Q13200	PSMD2
O43242	PSMD3
O00232	PSMD12
O00231	PSMD11
Q15008	PSMD6
P47210	PSMC5
P47210	Psmc5
Q9UNM6	PSMD13
P51665	PSMD7
P49721	PSMB2
P12004	PCNA
P35244	RPA3
Q08211	DHX9
P42285	MTREX
O43143	DHX15
Q92499	DDX1
P52272	HNRNPM
O43390	HNRNPR
P11940	PABPC1
P17844	DDX5
P14866	HNRNPL
P26196	DDX6
P31943	HNRNPH1
P52597	HNRNPF
Q15366	PCBP2
P09651	HNRNPA1
