From	To
P49418	AMPH
Q99961	SH3GL1
O43426	SYNJ1
P50570	DNM2
Q9UQ16	DNM3
P34708	tra-1
P34709	tra-2
Q13643	FHL3
P42566	EPS15
P33993	MCM7
P10275	AR
O92503	IE2
Q07889	SOS1
Q8IZP0	ABI1
P00519	ABL1
Q8NFH8	REPS2
P28028	Braf
P31938	Map2k1
P63209	SKP1
Q9EPM5	Sync
Q9Y4J8	DTNA
Q13474	DRP2
P11532	DMD
P46939	UTRN
P62150	calm1
Q14118	DAG1
P27986	PIK3R1
P07237	P4HB
P27797	CALR
P04326	tat
Q96HE7	ERO1A
P32917	STE5
P08539	GPA1
P50750	CDK9
P53999	SUB1
P14681	KSS1
Q61824	Adam12
Q60631	Grb2
O14924	RGS12
Q06224	YSH1
P42841	PFS2
P38398	BRCA1
P11433	CDC24
P18851	STE4
P21268	FAR1
P11940	PABPC1
Q15366	PCBP2
Q14192	FHL2
P49810	PSEN2
P39010	AKR1
P52297	kpnb1
O88811	Stam2
P70297	Stam
Q80U87	Usp8
Q9GZV5	WWTR1
P62262	YWHAE
Q01196	RUNX1
Q15599	SLC9A3R2
P63104	YWHAZ
Q15034	HERC3
Q921E6	Eed
O14807	MRAS
P53271	COG2
O60674	JAK2
P23458	JAK1
Q99158	SIL1
P15918	RAG1
P52294	KPNA1
P49187	Mapk10
O35099	Map3k5
P45985	MAP2K4
P63102	Ywhaz
Q13233	MAP3K1
Q9Y2U5	MAP3K2
P62258	YWHAE
Q99759	MAP3K3
P08069	IGF1R
P31946	YWHAB
P63103	YWHAZ
Q9PTG8	tacc3
Q91572	cpeb1-a
P48597	eif4e
P38328	ARC40
P33204	ARC19
P36006	MYO3
Q04439	MYO5
P37370	VRP1
P39743	RVS167
P25343	RVS161
P38634	SIC1
Q15811	ITSN1
Q9Z0R4	Itsn1
Q60902	Eps15l1
P39053	Dnm1
E9PSY8	Eps15
F1PAM9	EPS15
P05952	vpr
Q13363	CTBP1
P49757	NUMB
P52594	AGFG1
Q99708	RBBP8
P16371	gro
O46036	CtBP
P25962	Adrb3
O75369	FLNB
P49768	PSEN1
P21333	FLNA
P43254	COP1
Q96288	BBX24
Q9SID1	BBX25
Q4AE16	X
Q60760	Grb10
P46935	Nedd4
Q07817	BCL2L1
P84024	SMAD3
P27037	ACVR2A
P38444	Acvr2a
P30626	SRI
Q9UMX0	UBQLN1
P62493	RAB11A
O09528	vpu
P69700	vpu
P63208	SKP1
Q9Y297	BTRC
P14737	RAD9
O43432	EIF4G3
Q04637	EIF4G1
Q15583	TGIF1
Q99828	CIB1
Q99569	PKP4
Q12972	PPP1R8
Q99459	CDC5L
P46013	MKI67
Q9NS87	KIF15
P03372	ESR1
P06931	E6
Q14571	ITPR2
P27695	APEX1
P29469	MCM2
O43639	NCK2
Q14185	DOCK1
P63166	Sumo1
Q9UBZ9	REV1
Q13683	ITGA7
P26006	ITGA3
P08047	SP1
P23708	Nfya
P18576	Nfya
Q01714	Sp1
P46684	Zic1
Q62520	Zic2
P10071	GLI3
Q62521	Zic3
Q78DX7	Ros1
P08922	ROS1
P33767	WBP1
P41811	SEC27
P40509	SEC28
P53622	COP1
P43621	RET2
P41810	SEC26
P84077	ARF1
P38682	GLO3
P32074	SEC21
P35605	COPB2
P53600	RET3
P26696	mapk1
P10665	rps6ka
Q9Z2V6	Hdac5
Q14814	MEF2D
Q06413	MEF2C
Q6P5Z2	PKN3
P04324	nef
O08605	Mknk1
P63086	Mapk1
Q63844	Mapk3
Q9WUI1	Mapk11
Q8CDB0	Mknk2
O60941	DTNB
P06730	EIF4E
Q13542	EIF4EBP2
P06400	RB1
Q8WYK2	JDP2
Q06187	BTK
P13098	E(spl)m8-HLH
P08181	CkIIalpha
P13096	E(spl)m5-HLH
Q60700	Map3k12
Q6ZQ03	Fnbp4
Q9Z0W5	Pacsin1
Q99962	SH3GL2
P62136	PPP1CA
Q96CV9	OPTN
P61007	RAB8A
P06103	PRT1
P40217	TIF34
Q04067	TIF35
P38249	RPG1
P32497	NIP1
P46959	GCD14
Q16650	TBR1
O14936	CASK
Q9Y2J0	RPH3A
P55210	CASP7
P42574	CASP3
P36507	MAP2K2
P08238	HSP90AB1
Q02750	MAP2K1
P08107	HSPA1A
P08107	HSPA1B
Q61097	Ksr1
Q16543	CDC37
O14974	PPP1R12A
P24348	let-23
P98170	XIAP
P22981	let-60
O17583	lin-10
P54936	lin-2
Q9U245	lin-7
Q10664	mek-2
Q93794	sel-10
P90916	lin-53
Q9XVM6	CELE_F53F1.4
Q21423	CELE_K10D6.4
Q9N5G3	dhs-14
Q93203	C11E4.6
Q9TYS3	ftn-2
Q20363	sip-1
G5ECW9	rme-4
O45539	src-2
H2L007	CELE_R08E3.3
Q20771	CELE_F54D5.5
Q19019	sli-1
Q23158	atn-1
Q9N5D3	sos-1
P91482	CELE_T20F5.6
O16314	C05C8.1
P34269	tyr-1
P46582	sumv-1
Q17746	C06G3.6
O44144	perm-4
P37806	unc-87
Q18624	gmeb-3
G5EGD2	hif-1
P17330	gpd-3
P34504	K04H4.2
Q93831	CELE_F59C6.5
O61711	rnp-8
Q21502	mep-1
P34666	coq-5
Q17695	spdl-1
G5ECD7	mel-11
O44150	C49A9.6
Q9XUF2	C49C3.7
Q19203	unc-98
P34397	F10E9.3
Q19467	git-1
H2KYP0	picc-1
P39745	mpk-1
P90901	ifa-1
H2KYX3	nfm-1
Q20330	ifo-1
P34420	ess-2
Q20502	haly-1
Q21229	CELE_K04G2.10
Q21234	CELE_K04G7.1
Q21067	ifc-2
O62305	unc-43
G5EEG1	nfya-1
Q22227	mig-5
P91820	lst-1
P91829	nhr-69
G5EBY5	sipa-1
O02365	mua-6
P10567	unc-15
Q18823	lam-2
Q19989	golg-2
Q19286	ifb-2
G5EG76	CELE_F10G8.8
O62245	exo-1
P90900	ifa-4
Q20298	CELE_F41H10.4
Q19341	haao-1
Q17334	sodh-1
Q21926	iars-1
O01861	vet-1
Q22212	CELE_T05B11.1
G5EDU4	eor-1
P34427	lin-36
Q9U362	pgrn-1
Q22631	CELE_T21B6.3
G5ECG0	tac-1
Q9U1T5	CELE_Y69H2.3
Q9BKS4	pals-17
Q23402	ZK1127.4
Q23664	vab-23
G5ECU1	skr-1
Q09587	nhr-22
C6KRN1	sao-1
Q23482	lin-37
Q21484	hat-1
O61907	lin-40
P91001	csn-5
H2KYH8	C06A6.2
Q09230	C05C10.5
P13508	glp-1
Q20135	col-81
G5EDF5	tufm-2
Q9GYT4	arrd-19
O17977	CELE_R03C1.1
P46505	zip-8
Q93637	hpo-34
P35602	unc-101
G5EC32	sorb-1
G5EFL5	alp-1
Q9U9K0	add-1
P34383	far-2
Q18529	C39D10.7
O77469	fbl-1
G5EFS5	CELE_F45D11.15
Q21018	cri-3
Q21747	btbd-10
Q9GRV4	clec-112
Q9U1S2	brp-1
O01868	rpl-24.1
H2KZ24	C27H5.2
Q09417	R06F6.8
Q27365	lin-15A
O76447	hcp-1
Q19852	rgl-1
Q22875	soc-2
Q8MXF0	frm-8
P91575	CELE_W05B10.4
P04637	TP53
P42858	HTT
Q92793	CREBBP
Q96ST3	SIN3A
P00546	CDC28
Q24152	Cks30A
P91654	dap
Q00526	CDK3
Q24159	CycJ
P23572	Cdk1
P23573	Cdk2
Q24158	CycD
P11802	CDK4
P06493	CDK1
P68563	TK
P11158	VACWR043
P04303	UNG
P12923	VACWR072
P04305	VACWR110
P07242	VACWR103
P16715	VACWR129
P17374	DUT
P20991	A14L
P20994	A19L
P12848	VACWR073
P68615	VACWR155
P03296	VACWR010
P03296	VACWR209
Q01219	VACWR177
P20997	A22R
P29191	VACWR123
P21114	A26L
P26669	VACWR171
P07616	VACWR093
P68446	VACWR063
P29192	VACWR125
P21605	VACWR059
P20998	VITF3L
P16913	VPK1
P68613	VLTF1
P07610	VLTF2
P68456	VACWR080
P24360	VACWR047
P21020	F15L
Q13976	PRKG1
Q99523	SORT1
Q9UJY4	GGA2
Q64369	Igf2bp3
Q61990	Pcbp2
P62961	Ybx1
P06800	Ptprc
Q9NR28	DIABLO
O60016	clr4
Q9PU13	spdya-a
O57468	ywhae
P32383	PLC1
