"1","34","ENSG00000117054,HGNC:89","ACADM","ACAD1,MCAD,MCADH","NP_001272972.1,NP_001272971.1,NP_000007.1,NP_001272973.1,NP_001120800.1","acyl-CoA dehydrogenase medium chain [Source:HGNC Symbol;Acc:HGNC:89]"
"2","38","HGNC:93,ENSG00000075239","ACAT1","THIL,T2,ACAT,MAT","NP_000010.1","acetyl-CoA acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:93]"
"3","154","HGNC:286,ENSG00000169252","ADRB2","B2AR,ADRB2R,BETA2AR,ADRBR,BAR","NP_000015.1","adrenoceptor beta 2 [Source:HGNC Symbol;Acc:HGNC:286]"
"4","155","ENSG00000188778,HGNC:288","ADRB3","BETA3AR","NP_000016.1","adrenoceptor beta 3 [Source:HGNC Symbol;Acc:HGNC:288]"
"5","158","HGNC:291,ENSG00000239900","ADSL","ASL,ASASE,AMPS","NP_001304852.1,NP_001116850.1,NP_000017.1","adenylosuccinate lyase [Source:HGNC Symbol;Acc:HGNC:291]"
"6","175","ENSG00000038002,HGNC:318","AGA","GA,AGU,ASRG","NP_001165459.1,NP_000018.2","aspartylglucosaminidase [Source:HGNC Symbol;Acc:HGNC:318]"
"7","178","ENSG00000162688,HGNC:321","AGL","GDE","NP_000633.2,NP_000637.2,NP_000634.2,NP_000635.2,NP_000019.2","amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase [Source:HGNC Symbol;Acc:HGNC:321]"
"8","183","ENSG00000135744,HGNC:333","AGT","SERPINA8,ANHU","NP_000020.1","angiotensinogen [Source:HGNC Symbol;Acc:HGNC:333]"
"9","189","ENSG00000172482,HGNC:341","AGXT","AGT,PH1,AGXT1,SPAT,AGT1,SPT,TLH6","NP_000021.1","alanine--glyoxylate and serine--pyruvate aminotransferase [Source:HGNC Symbol;Acc:HGNC:341]"
"10","210","ENSG00000148218,HGNC:395","ALAD","PBGS,ALADH","NP_001304674.1,NP_001003945.1,NP_000022.3","aminolevulinate dehydratase [Source:HGNC Symbol;Acc:HGNC:395]"
"11","212","ENSG00000158578,HGNC:397","ALAS2","LEPP,ANH1,ALAS-E,XLDPP,ASB,ALASE,XLSA,SIDBA1","NP_000023.2,NP_001033057.1,NP_001033056.1","5'-aminolevulinate synthase 2 [Source:HGNC Symbol;Acc:HGNC:397]"
"12","215","HGNC:61,ENSG00000101986","ABCD1","ALD,ABC42,ALDP,AMN","NP_000024.2","ATP binding cassette subfamily D member 1 [Source:HGNC Symbol;Acc:HGNC:61]"
"13","226","HGNC:414,ENSG00000149925","ALDOA","ALDA,GSD12,HEL-S-87p","NP_908930.1,NP_908932.1,NP_001121089.1,NP_001230106.1,NP_000025.1","aldolase, fructose-bisphosphate A [Source:HGNC Symbol;Acc:HGNC:414]"
"14","270","ENSG00000116748,HGNC:468","AMPD1","MAD,MADA,MMDD","NP_000027.2,NP_001166097.1","adenosine monophosphate deaminase 1 [Source:HGNC Symbol;Acc:HGNC:468]"
"15","229","HGNC:417,ENSG00000136872","ALDOB","ALDO2,ALDB","NP_000026.2","aldolase, fructose-bisphosphate B [Source:HGNC Symbol;Acc:HGNC:417]"
"16","100","ENSG00000196839,HGNC:186","ADA",,"NP_001308979.1,NP_000013.2,NP_001308980.1","adenosine deaminase [Source:HGNC Symbol;Acc:HGNC:186]"
"17","6442","ENSG00000108823,HGNC:10805","SGCA","50DAG,LGMD2D,DMDA2,ADL,DAG2,adhalin,CARMD1","NP_001129169.1,NP_000014.1","sarcoglycan alpha [Source:HGNC Symbol;Acc:HGNC:10805]"
