Contents of group 40209 (XBP) in the cisRED C.elegans 4 database
-------------------------------------------------
Index	Atomic motif ID (craCele)	Annotation p-value	Discovery p-value	Motif location	Annotated strand	In pattern(s): crmCele (name)	Name(s) associated with the search region that contains this motif
1	90439	5.08E-07	4.96E-01	CHROMOSOME_X: 4,679,597-4,679,608	-	------	K02G10.4b
2	77291	5.49E-07	5.24E-01	CHROMOSOME_I: 3,830,934-3,830,943	+	------	F53F10.2b
3	134344	7.10E-07	9.47E-01	CHROMOSOME_V: 20,086,135-20,086,146	-	------	Y113G7A.9
4	134343	7.10E-07	7.12E-01	CHROMOSOME_V: 20,086,144-20,086,158	-	------	Y113G7A.9
5	24147	9.06E-07	4.53E-02	CHROMOSOME_IV: 11,899,546-11,899,637	-	------	C29E6.5
6	81949	9.07E-07	2.16E-01	CHROMOSOME_III: 4,477,954-4,477,984	-	------	F56F3.6
7	133439	9.20E-07	6.99E-01	CHROMOSOME_I: 14,631,400-14,631,413	+	------	Y105E8B.1f
8	27352	9.37E-07	7.00E-02	CHROMOSOME_IV: 7,149,444-7,149,451	-	------	C34D4.4b
9	27351	9.37E-07	5.50E-02	CHROMOSOME_IV: 7,149,437-7,149,446	-	------	C34D4.4b
10	79503	1.00E-06	6.42E-01	CHROMOSOME_II: 6,621,970-6,621,983	-	------	F54H5.3
11	79502	1.00E-06	3.16E-01	CHROMOSOME_II: 6,621,956-6,621,965	-	------	F54H5.3
12	37462	1.00E-06	3.80E-01	CHROMOSOME_X: 7,842,378-7,842,391	-	------	C54D2.1
13	37466	1.00E-06	3.37E-01	CHROMOSOME_X: 7,842,356-7,842,394	-	------	C54D2.1
14	37461	1.00E-06	2.57E-01	CHROMOSOME_X: 7,842,376-7,842,389	-	------	C54D2.1
15	37465	1.00E-06	1.00E-08	CHROMOSOME_X: 7,842,382-7,842,387	-	------	C54D2.1
16	37463	1.00E-06	1.00E-08	CHROMOSOME_X: 7,842,380-7,842,385	-	------	C54D2.1
17	123350	1.29E-06	4.94E-01	CHROMOSOME_III: 4,658,579-4,658,590	-	------	T23F11.3a
18	123412	1.29E-06	6.52E-01	CHROMOSOME_III: 4,658,578-4,658,591	-	------	T23F11.3b
19	98547	1.38E-06	6.58E-02	CHROMOSOME_X: 4,971,723-4,971,739	-	------	M03F4.7b
20	98463	1.38E-06	6.82E-02	CHROMOSOME_X: 4,971,724-4,971,739	-	------	M03F4.7a
21	114432	1.42E-06	4.50E-01	CHROMOSOME_II: 7,144,203-7,144,217	+	------	T07F8.2
22	55943	1.42E-06	7.12E-01	CHROMOSOME_V: 8,545,939-8,545,950	-	------	F25G6.6
23	131685	1.48E-06	2.85E-01	CHROMOSOME_III: 10,717,662-10,717,682	-	------	W09D10.4
24	57919	1.50E-06	4.74E-01	CHROMOSOME_I: 5,433,695-5,433,702	+	------	F27C1.8
25	89110	1.58E-06	5.91E-01	CHROMOSOME_II: 7,430,541-7,430,608	+	------	K02A2.3
26	89109	1.58E-06	5.53E-01	CHROMOSOME_II: 7,430,551-7,430,564	+	------	K02A2.3
27	98445	1.77E-06	5.14E-02	CHROMOSOME_X: 4,972,168-4,972,204	-	------	M03F4.7a
28	98524	1.77E-06	5.14E-02	CHROMOSOME_X: 4,972,168-4,972,204	-	------	M03F4.7b
29	157728	2.07E-06	6.75E-01	CHROMOSOME_IV: 4,513,625-4,513,656	+	------	ZK180.4
30	2744	2.08E-06	1.37E-01	CHROMOSOME_II: 4,532,655-4,532,662	-	------	B0304.5
31	2745	2.08E-06	6.82E-01	CHROMOSOME_II: 4,532,650-4,532,656	-	------	B0304.5
32	68659	2.29E-06	6.08E-01	CHROMOSOME_X: 10,197,450-10,197,468	+	------	F44A6.1a
33	68716	2.29E-06	6.69E-01	CHROMOSOME_X: 10,197,450-10,197,471	+	------	F44A6.1b
34	68715	2.29E-06	5.80E-02	CHROMOSOME_X: 10,197,461-10,197,466	+	------	F44A6.1b
35	75940	2.29E-06	2.57E-01	CHROMOSOME_X: 3,087,771-3,087,788	+	------	F52E4.5
36	75938	2.29E-06	3.68E-01	CHROMOSOME_X: 3,087,786-3,087,822	+	------	F52E4.5
37	5821	2.45E-06	9.20E-01	CHROMOSOME_X: 7,443,452-7,443,474	+	------	C01C10.3
38	86106	2.55E-06	5.20E-01	CHROMOSOME_IV: 11,394,248-11,394,262	-	------	H02I12.3
39	144648	3.06E-06	9.87E-01	CHROMOSOME_II: 14,251,563-14,251,572	+	------	Y54G11A.2
40	121670	3.06E-06	5.37E-01	CHROMOSOME_III: 10,534,262-10,534,277	-	------	T21C12.2
41	71167	3.08E-06	5.64E-02	CHROMOSOME_X: 15,274,103-15,274,152	+	------	F46F2.2c
