,mouse_name,Mouse_ID,human_name,Human_ID
182,Mar-10,632687,Mar-10,162333
603,Abca6,76184,ABCA6,23460
224,Abcb11,27413,ABCB11,8647
488,Abcb6,74104,ABCB6,10058
225,Abcg4,192663,ABCG4,64137
226,Abhd6,66082,ABHD6,57406
853,Acat1,110446,ACAT1,38
920,Acot13,66834,ACOT13,55856
171,Acox2,93732,ACOX2,8309
768,Ada,11486,ADA,100
857,Adat2,66757,ADAT2,134637
489,Adat3,100113398,ADAT3,113179
592,Adgb,215772,ADGB,79747
456,Adora2b,11541,ADORA2B,136
563,Aebp1,11568,AEBP1,165
172,Agbl2,271813,AGBL2,79841
848,Ago2,239528,AGO2,27161
227,Agr2,23795,AGR2,10551
173,Agr3,403205,AGR3,155465
228,Agtr1a,11607,AGTR1,185
457,Agtr2,11609,AGTR2,186
518,Aifm3,72168,AIFM3,150209
46,Ak7,78801,AK7,122481
229,Ak8,68870,AK8,158067
878,Akr1b8,14187,AKR1B10,57016
948,Alms1,236266,ALMS1,7840
810,Anapc11,66156,ANAPC11,51529
230,Angpt4,11602,ANGPT4,51378
386,Anxa8,11752,ANXA8,653145
387,Anxa8,11752,ANXA8L1,728113
517,Ap3m2,64933,AP3M2,10947
830,Apba1,319924,APBA1,320
871,Appl2,216190,APPL2,55198
47,Aqp7,11832,AQP7,364
904,Arg2,11847,ARG2,384
231,Arhgdig,14570,ARHGDIG,398
828,Arl11,219144,ARL11,115761
579,Arl13b,68146,ARL13B,200894
48,Armc3,70882,ARMC3,219681
49,Armc4,74934,ARMC4,55130
232,Arntl2,272322,ARNTL2,56938
458,Art4,109978,ART4,420
50,Arvcf,11877,ARVCF,421
741,Ash2l,23808,ASH2L,9070
827,Asrgl1,66514,ASRGL1,80150
794,Ate1,11907,ATE1,11101
697,Atp6v0e2,76252,ATP6V0E2,155066
233,Atp8b3,67331,ATP8B3,148229
735,Atrn,11990,ATRN,8455
51,Avil,11567,AVIL,10677
234,B3galt1,26877,B3GALT1,8708
824,B3gnt3,72297,B3GNT3,10331
235,B3gnt4,231727,B3GNT4,79369
499,Bag2,213539,BAG2,9532
897,Baz2b,407823,BAZ2B,29994
856,Bbs5,72569,BBS5,129880
236,Bcan,12032,BCAN,63827
54,Bcas1,76960,BCAS1,8537
661,Bcl2l12,75736,BCL2L12,83596
869,Bet1l,54399,BET1L,51272
797,Bicc1,83675,BICC1,80114
698,Bloc1s5,17828,BLOC1S5,63915
536,Blzf1,66352,BLZF1,8548
535,Bnip1,224630,BNIP1,662
766,Bphl,68021,BPHL,670
322,1700024G13Rik,67085,C10orf53,282966
777,1110032A03Rik,68721,C11orf1,64776
53,BC051019,57355,C11orf16,56673
348,9230110C19Rik,234912,C11orf70,85016
163,4833427G06Rik,235345,C11orf88,399949
318,1700012B09Rik,69325,C11orf97,643037
501,Ccpg1os,546143,C15orf65,145788
331,2900011O08Rik,67254,C16orf45,89927
323,1700030J22Rik,69528,C16orf46,123775
217,4933405L10Rik,71046,C16orf86,388284
158,1700037C18Rik,73261,C16orf90,646174
485,4930562C15Rik,78809,C16orf96,342346
155,1700016K19Rik,74230,C17orf97,400566
601,A230050P20Rik,319278,C19orf66,55337
481,4930404N11Rik,432479,C19orf71,100128569
643,5730559C18Rik,67313,C1orf106,55765
557,1700094D03Rik,73545,C1orf189,388701
319,1700013F07Rik,75504,C1orf194,127003
237,C1qtnf3,81799,C1QTNF3,114899
168,6820408C15Rik,228778,C20orf96,140680
340,4932438H23Rik,74387,C21orf62,56245
413,1700088E04Rik,27660,C22orf23,84645
161,2410004P03Rik,73667,C2orf50,130813
148,1700001C02Rik,75434,C2orf70,339778
150,1700003E16Rik,71837,C2orf81,388963
152,1700007G11Rik,75784,C4orf22,255119
623,D3Ertd751e,73852,C4orf33,132321
149,1700001L19Rik,69315,C5orf49,134121
560,3110082I17Rik,73212,C7orf50,84310
134,Gm11992,626870,C7orf57,136288
460,C8g,69379,C8G,733
483,4930444P10Rik,75799,C8orf89,100130301
153,1700007K13Rik,69327,C9orf116,138162
157,1700028P14Rik,67483,C9orf135,138255
147,1110017D15Rik,73721,C9orf24,84688
573,BC005624,227707,C9orf78,51759
699,Cables1,63955,CABLES1,91768
55,Cadm2,239857,CADM2,253559
612,Cadps2,320405,CADPS2,93664
56,Calb2,12308,CALB2,794
461,Calr3,73316,CALR3,125972
344,Capsl,75568,CAPSL,133690
593,Casc1,320662,CASC1,55259
542,Cbll1,104836,CBLL1,79872
462,Cbr3,109857,CBR3,874
754,Cbx6,494448,CBX6,23466
577,Cc2d2a,231214,CC2D2A,57545
240,Ccdc103,73293,CCDC103,388389
594,Ccdc112,240261,CCDC112,153733
60,Ccdc113,244608,CCDC113,29070
463,Ccdc114,211535,CCDC114,93233
389,Ccdc122,108811,CCDC122,160857
881,Ccdc138,76138,CCDC138,165055
396,Ccdc14,239839,CCDC14,64770
377,Ccdc146,75172,CCDC146,57639
242,Ccdc148,227933,CCDC148,130940
243,Ccdc150,78016,CCDC150,284992
61,Ccdc151,77609,CCDC151,115948
244,Ccdc153,270150,CCDC153,283152
245,Ccdc154,207209,CCDC154,645811
62,Ccdc155,384619,CCDC155,147872
503,Ccdc157,216516,CCDC157,550631
464,Ccdc166,223648,CCDC166,100130274
397,Ccdc17,622665,CCDC17,149483
949,Ccdc171,320226,CCDC171,203238
688,Ccdc18,73254,CCDC18,343099
530,Ccdc181,74895,CCDC181,57821
376,Ccdc39,51938,CCDC39,339829
66,Ccdc40,207607,CCDC40,55036
67,Ccdc60,269693,CCDC60,160777
399,Ccdc61,232933,CCDC61,729440
68,Ccdc65,105833,CCDC65,85478
70,Ccdc73,211936,CCDC73,493860
818,Ccdc78,381077,CCDC78,124093
872,Ccdc80,67896,CCDC80,151887
71,Ccna1,12427,CCNA1,8900
658,Ccng1,12450,CCNG1,900
246,Ccno,218630,CCNO,10309
466,Cdhr3,68764,CDHR3,222256
575,Cdon,57810,CDON,50937
950,Cenpn,72155,CENPN,55839
349,Cenpp,66336,CENPP,401541
72,Cep128,75216,CEP128,145508
467,Cep131,12009,CEP131,22994
652,Cep290,216274,CEP290,80184
952,Cep350,74081,CEP350,9857
759,Cep63,28135,CEP63,80254
679,Cep83,77048,CEP83,51134
681,Cetn2,26370,CETN2,1069
58,Ccdc108,241116,CFAP65,255101
692,Cgrrf1,68755,CGRRF1,10668
723,Chaf1a,27221,CHAF1A,10036
784,Chka,12660,CHKA,1119
889,Chst3,53374,CHST3,9469
390,Cit,12704,CIT,11113
247,Clec2l,665180,CLEC2L,154790
724,Clec5a,23845,CLEC5A,23601
839,Clic6,209195,CLIC6,54102
931,Clip4,78785,CLIP4,79745
610,Cluap1,76779,CLUAP1,23059
725,Cmpk2,22169,CMPK2,129607
751,Cntd1,68107,CNTD1,124817
410,Cog2,76332,COG2,22796
468,Col6a5,665033,COL6A5,256076
248,Colec11,71693,COLEC11,78989
932,Cops7b,26895,COPS7B,64708
526,Adck4,76889,COQ8B,79934
677,Cox6b2,333182,COX6B2,125965
249,Cpz,242939,CPZ,8532
933,Creld1,171508,CRELD1,78987
250,Crip3,114570,CRIP3,401262
392,Crtc1,382056,CRTC1,23373
655,Cry2,12953,CRY2,1408
251,Cryaa,12954,CRYAA,1409
737,Csad,246277,CSAD,51380
660,Cstf2,108062,CSTF2,1478
896,Ctbp2,13017,CTBP2,1488
252,Ctf1,13019,CTF1,1489
595,Ctsk,13038,CTSK,1513
253,Cxcl13,55985,CXCL13,10563
553,Cyb561,13056,CYB561,1534
840,Cyb5d2,192986,CYB5D2,124936
469,Cyb5rl,230582,CYB5RL,606495
254,Cyp2b10,13088,CYP2B6,1555
73,Cyp2s1,74134,CYP2S1,29785
470,Cysltr1,58861,CYSLTR1,10800
934,Cyth1,19157,CYTH1,9267
256,Dbndd1,72185,DBNDD1,79007
912,Dclre1b,140917,DCLRE1B,64858
802,Dcn,13179,DCN,1634
257,Ddo,70503,DDO,8528
773,Ddx20,53975,DDX20,11218
69,Ccdc67,234964,DEUP1,159989
414,Dhx16,69192,DHX16,8449
258,Dlec1,320256,DLEC1,9940
622,Dlg3,53310,DLG3,1741
597,Dlgap5,218977,DLGAP5,9787
259,Dmkn,73712,DMKN,93099
75,Dnaaf1,68270,DNAAF1,123872
76,Dnaaf3,436022,DNAAF3,352909
87,Dyx1c1,67685,DNAAF4,161582
471,Dnah1,110084,DNAH1,25981
77,Dnah10,56087,DNAH10,196385
78,Dnah2,327954,DNAH2,146754
79,Dnah6,330355,DNAH6,1768
81,Dnah9,237806,DNAH9,1770
598,Dnaic1,68922,DNAI1,27019
82,Dnajb13,69387,DNAJB13,374407
686,Dnajb14,70604,DNAJB14,79982
873,Dnajc15,66148,DNAJC15,29103
83,Dnajc5b,66326,DNAJC5B,85479
380,Dnal1,105000,DNAL1,83544
84,Dnali1,75563,DNALI1,7802
260,Dnase1,13419,DNASE1,1773
578,Dock7,67299,DOCK7,85440
85,Dppa5a,434423,DPPA5,340168
792,Dpy30,66310,DPY30,84661
86,Drc1,381738,DRC1,92749
106,Lrrc48,74665,DRC3,83450
412,Dusp14,56405,DUSP14,11072
524,Dusp18,75219,DUSP18,150290
745,Dync2h1,110350,DYNC2H1,79659
364,Dynlrb2,75465,DYNLRB2,83657
263,Dyrk3,226419,DYRK3,8444
88,Dzank1,241688,DZANK1,55184
558,Dzip1l,72507,DZIP1L,199221
587,E4f1,13560,E4F1,1877
763,Eci2,23986,ECI2,10455
527,Ect2,13605,ECT2,1894
441,Ect2l,100045792,ECT2L,345930
267,Efcab11,78767,EFCAB11,90141
91,Efcab12,212516,EFCAB12,90288
726,Efcab2,68226,EFCAB2,84288
268,Efcab6,77627,EFCAB6,64800
92,Efhb,211482,EFHB,151651
269,Efhc1,71877,EFHC1,114327
270,Efhc2,74405,EFHC2,80258
93,Efs,13644,EFS,10278
402,Egfr,13649,EGFR,1956
406,Eif2ak3,13666,EIF2AK3,9451
780,Eif2d,16865,EIF2D,1939
94,Elmod1,270162,ELMOD1,55531
379,Elovl2,54326,ELOVL2,54898
341,Enkur,71233,ENKUR,219670
635,Eno2,13807,ENO2,2026
271,Eno4,226265,ENO4,387712
398,Eppk1,223650,EPPK1,83481
659,Erbb2,13866,ERBB2,2064
343,Erich2,66748,ERICH2,285141
272,Erich3,209601,ERICH3,127254
727,Ern1,78943,ERN1,2081
273,Esm1,71690,ESM1,11082
734,Exoc8,102058,EXOC8,149371
576,Exosc4,109075,EXOSC4,54512
753,Ezr,22350,EZR,7430
728,Faah,14073,FAAH,2166
96,Fam160a1,229488,FAM160A1,729830
97,Fam161a,73873,FAM161A,84140
910,Fam175a,70681,FAM175A,84142
274,Fam185a,330050,FAM185A,222234
746,Fam199x,245622,FAM199X,139231
275,Fam216b,219170,FAM216B,144809
276,Fam217a,71864,FAM217A,222826
729,Fam227a,75729,FAM227A,646851
174,Fam47e,384198,FAM47E,100129583
385,Fam81a,76886,FAM81A,145773
588,Fam83b,208994,FAM83B,222584
175,Fam83e,73813,FAM83E,54854
100,Fam92b,436062,FAM92B,339145
176,Fank1,66930,FANK1,92565
867,Fat1,14107,FAT1,2195
842,Fbln2,14115,FBLN2,2199
401,Fbxl12,30843,FBXL12,54850
101,Fbxo16,50759,FBXO16,157574
555,Fbxo32,67731,FBXO32,114907
369,Fbxo36,66153,FBXO36,130888
554,Fbxw9,68628,FBXW9,84261
128,Fhit,14198,FHIT,2272
511,Fhl2,14200,FHL2,2274
709,Fignl1,60530,FIGNL1,63979
129,Fitm2,228859,FITM2,128486
645,Fkbpl,56299,FKBPL,63943
801,Fosb,14282,FOSB,2354
130,Foxj1,15223,FOXJ1,2302
299,Foxn4,116810,FOXN4,121643
772,Fsbp,100503583,FSBP,100861412
427,Fsd1,240121,FSD1,79187
667,Fsd1l,319636,FSD1L,83856
131,Fsip1,71313,FSIP1,161835
829,Fstl3,83554,FSTL3,10272
428,Fuk,234730,FUK,197258
512,Fxyd6,59095,FXYD6,53826
804,G3bp2,23881,G3BP2,9908
710,Gabrb2,14401,GABRB2,2561
614,Galk1,14635,GALK1,2584
429,Gas2,14453,GAS2,2620
301,Gas2l2,237891,GAS2L2,246176
678,Gbf1,107338,GBF1,8729
914,Ggt5,23887,GGT5,2687
711,Gins1,69270,GINS1,9837
133,Glb1l,74577,GLB1L,79411
368,Glb1l2,244757,GLB1L2,89944
302,Gldc,104174,GLDC,2731
832,Glipr1,73690,GLIPR1,11010
648,Gnal,14680,GNAL,2774
391,Gnb5,14697,GNB5,10681
764,Gnpnat1,54342,GNPNAT1,64841
747,Gns,75612,GNS,2799
691,Gon4l,76022,GON4L,54856
137,Gper1,76854,GPER1,2852
564,Gphn,268566,GPHN,10243
650,Gpr137,107173,GPR137,56834
138,Gpr155,68526,GPR155,151556
574,Gprasp1,67298,GPRASP1,9737
409,Gprc5c,70355,GPRC5C,55890
139,Gpt2,108682,GPT2,84706
841,Gramd3,107022,GRAMD3,65983
394,Grb7,14786,GRB7,2886
306,Grik1,14805,GRIK1,2897
522,Grip1,74053,GRIP1,23426
307,Gtf2a1l,71828,GTF2A1L,11036
795,Gtf3c6,67371,GTF3C6,112495
308,Gtsf1l,68236,GTSF1L,149699
474,Guca1b,107477,GUCA1B,2979
921,Heatr5a,320487,HEATR5A,25938
309,Hepacam,72927,HEPACAM,220296
475,Hirip3,233876,HIRIP3,8479
646,Hist1h3c,319148,HIST2H3D,653604
749,Hmcn1,545370,HMCN1,83872
570,Hmgcll1,208982,HMGCLL1,54511
497,Hnf1b,21410,HNF1B,6928
858,Hnmt,140483,HNMT,3176
550,Hs6st1,50785,HS6ST1,9394
599,Hsf5,327992,HSF5,124535
546,Hspa2,15512,HSPA2,3306
544,Hspa4l,18415,HSPA4L,22824
500,Hsph1,15505,HSPH1,10808
140,Hydin,244653,HYDIN,54768
906,Icosl,50723,ICOSLG,23308
694,Ift122,81896,IFT122,55764
393,Ift140,106633,IFT140,9742
788,Ift43,76411,IFT43,112752
740,Igsf3,78908,IGSF3,3321
900,Il13ra1,16164,IL13RA1,3597
902,Il1r1,16177,IL1R1,3554
807,Ilkap,67444,ILKAP,80895
141,Intu,380614,INTU,27152
142,Iqca,74918,IQCA1,79781
946,Iqcc,230767,IQCC,55721
647,Iqcg,69707,IQCG,84223
310,Iqch,78250,IQCH,64799
143,Iqub,214704,IQUB,154865
311,Irak1bp1,65099,IRAK1BP1,134728
656,Irak2,108960,IRAK2,3656
611,Isyna1,71780,ISYNA1,51477
476,Itga2b,16399,ITGA2B,3674
381,Itgb3bp,67733,ITGB3BP,23421
312,Itih2,16425,ITIH2,3698
494,Itpk1,217837,ITPK1,3705
144,Itpka,228550,ITPKA,3706
922,Itpr2,16439,ITPR2,3709
313,Katnal2,71206,KATNAL2,83473
541,Katnb1,74187,KATNB1,10300
693,Kcnab2,16498,KCNAB2,8514
880,Kdm8,77035,KDM8,79831
477,Khdrbs3,13992,KHDRBS3,10656
556,2210408I21Rik,72371,KIAA0825,285600
487,9530077C05Rik,68283,KIAA0895,23366
136,Gm973,381260,KIAA2012,100652824
733,Kif24,109242,KIF24,347240
641,Kif2c,73804,KIF2C,11004
619,Kif3b,16569,KIF3B,9371
879,Kif9,16578,KIF9,64147
314,Klf1,16596,KLF1,10661
674,Klf5,12224,KLF5,688
315,Klhdc7a,242721,KLHDC7A,127707
145,Klhdc9,68874,KLHDC9,126823
146,Kndc1,76484,KNDC1,85442
755,Krt8,16691,KRT8,3856
947,Krtcap3,69815,KRTCAP3,200634
800,Kxd1,75620,KXD1,79036
860,L1cam,16728,L1CAM,3897
909,L3mbtl2,214669,L3MBTL2,83746
885,Large,16795,LARGE1,9215
955,Larp4b,217980,LARP4B,23185
615,Lca5,75782,LCA5,167691
730,Lck,16818,LCK,3932
762,Lcorl,209707,LCORL,254251
178,Ldlrad1,546840,LDLRAD1,388633
935,Lepr,16847,LEPR,3953
568,Lgalsl,216551,LGALSL,29094
884,Lilra5,232801,LILRA5,353514
520,Loxl4,67573,LOXL4,84171
102,Lrguk,74354,LRGUK,136332
103,Lrrc10b,278795,LRRC10B,390205
104,Lrrc23,16977,LRRC23,10233
936,Lrrc25,211228,LRRC25,126364
508,Lrrc28,67867,LRRC28,123355
844,Lrrc29,234684,LRRC29,26231
105,Lrrc34,71827,LRRC34,151827
180,Lrrc43,381741,LRRC43,254050
351,Lrrc56,70552,LRRC56,115399
107,Lrrc6,54562,LRRC6,23639
937,Lrrc75a,192976,LRRC75A,388341
108,Lrriq1,74978,LRRIQ1,84125
443,Lum,17022,LUM,4060
845,Lyrm1,73919,LYRM1,57149
109,Maats1,320214,MAATS1,89876
893,Man1a2,17156,MAN1A2,10905
363,Map9,213582,MAP9,79884
181,Mapk8ip1,19099,MAPK8IP1,9479
