Genome project,Gene stable ID,Human gene name
caenorhabditis_elegans_prjna13758,WBGene00000001,PIK3R3
caenorhabditis_elegans_prjna13758,WBGene00000001,AL358075.4
caenorhabditis_elegans_prjna13758,WBGene00000001,PIK3R2
caenorhabditis_elegans_prjna13758,WBGene00000001,AC007192.1
caenorhabditis_elegans_prjna13758,WBGene00000002,SLC7A6
caenorhabditis_elegans_prjna13758,WBGene00000002,SLC7A10
caenorhabditis_elegans_prjna13758,WBGene00000002,SLC7A8
caenorhabditis_elegans_prjna13758,WBGene00000002,SLC7A7
caenorhabditis_elegans_prjna13758,WBGene00000002,SLC7A13
caenorhabditis_elegans_prjna13758,WBGene00000002,SLC7A11
caenorhabditis_elegans_prjna13758,WBGene00000002,SLC7A9
caenorhabditis_elegans_prjna13758,WBGene00000003,SLC7A6
caenorhabditis_elegans_prjna13758,WBGene00000003,SLC7A10
caenorhabditis_elegans_prjna13758,WBGene00000003,SLC7A8
caenorhabditis_elegans_prjna13758,WBGene00000003,SLC7A7
caenorhabditis_elegans_prjna13758,WBGene00000003,SLC7A13
caenorhabditis_elegans_prjna13758,WBGene00000003,SLC7A11
caenorhabditis_elegans_prjna13758,WBGene00000003,SLC7A9
caenorhabditis_elegans_prjna13758,WBGene00000004,SLC7A6
caenorhabditis_elegans_prjna13758,WBGene00000004,SLC7A10
caenorhabditis_elegans_prjna13758,WBGene00000004,SLC7A14
caenorhabditis_elegans_prjna13758,WBGene00000004,SLC7A2
caenorhabditis_elegans_prjna13758,WBGene00000004,SLC7A3
caenorhabditis_elegans_prjna13758,WBGene00000004,SLC7A1
caenorhabditis_elegans_prjna13758,WBGene00000004,SLC7A5
caenorhabditis_elegans_prjna13758,WBGene00000004,SLC7A8
caenorhabditis_elegans_prjna13758,WBGene00000004,SLC7A7
caenorhabditis_elegans_prjna13758,WBGene00000004,SLC7A13
caenorhabditis_elegans_prjna13758,WBGene00000004,SLC7A11
caenorhabditis_elegans_prjna13758,WBGene00000004,SLC7A9
caenorhabditis_elegans_prjna13758,WBGene00000005,SLC7A6
caenorhabditis_elegans_prjna13758,WBGene00000005,SLC7A10
caenorhabditis_elegans_prjna13758,WBGene00000005,SLC7A14
caenorhabditis_elegans_prjna13758,WBGene00000005,SLC7A2
caenorhabditis_elegans_prjna13758,WBGene00000005,SLC7A3
caenorhabditis_elegans_prjna13758,WBGene00000005,SLC7A1
caenorhabditis_elegans_prjna13758,WBGene00000005,SLC7A5
caenorhabditis_elegans_prjna13758,WBGene00000005,SLC7A8
caenorhabditis_elegans_prjna13758,WBGene00000005,SLC7A7
caenorhabditis_elegans_prjna13758,WBGene00000005,SLC7A13
caenorhabditis_elegans_prjna13758,WBGene00000005,SLC7A11
caenorhabditis_elegans_prjna13758,WBGene00000005,SLC7A9
caenorhabditis_elegans_prjna13758,WBGene00000006,SLC7A6
caenorhabditis_elegans_prjna13758,WBGene00000006,SLC7A10
caenorhabditis_elegans_prjna13758,WBGene00000006,SLC7A14
caenorhabditis_elegans_prjna13758,WBGene00000006,SLC7A2
caenorhabditis_elegans_prjna13758,WBGene00000006,SLC7A8
caenorhabditis_elegans_prjna13758,WBGene00000006,SLC7A7
caenorhabditis_elegans_prjna13758,WBGene00000006,SLC7A13
caenorhabditis_elegans_prjna13758,WBGene00000006,SLC7A11
caenorhabditis_elegans_prjna13758,WBGene00000006,SLC7A9
caenorhabditis_elegans_prjna13758,WBGene00000007,SLC7A6
caenorhabditis_elegans_prjna13758,WBGene00000007,SLC7A10
caenorhabditis_elegans_prjna13758,WBGene00000007,SLC7A14
caenorhabditis_elegans_prjna13758,WBGene00000007,SLC7A2
caenorhabditis_elegans_prjna13758,WBGene00000007,SLC7A3
caenorhabditis_elegans_prjna13758,WBGene00000007,SLC7A1
caenorhabditis_elegans_prjna13758,WBGene00000007,SLC7A5
caenorhabditis_elegans_prjna13758,WBGene00000007,SLC7A8
caenorhabditis_elegans_prjna13758,WBGene00000007,SLC7A7
caenorhabditis_elegans_prjna13758,WBGene00000007,SLC7A13
caenorhabditis_elegans_prjna13758,WBGene00000007,SLC7A11
caenorhabditis_elegans_prjna13758,WBGene00000007,SLC7A9
caenorhabditis_elegans_prjna13758,WBGene00000008,SLC7A6
caenorhabditis_elegans_prjna13758,WBGene00000008,SLC7A10
caenorhabditis_elegans_prjna13758,WBGene00000008,SLC7A14
caenorhabditis_elegans_prjna13758,WBGene00000008,SLC7A2
caenorhabditis_elegans_prjna13758,WBGene00000008,SLC7A3
caenorhabditis_elegans_prjna13758,WBGene00000008,SLC7A1
caenorhabditis_elegans_prjna13758,WBGene00000008,SLC7A5
caenorhabditis_elegans_prjna13758,WBGene00000008,SLC7A8
caenorhabditis_elegans_prjna13758,WBGene00000008,SLC7A7
caenorhabditis_elegans_prjna13758,WBGene00000008,SLC7A13
caenorhabditis_elegans_prjna13758,WBGene00000008,SLC7A11
caenorhabditis_elegans_prjna13758,WBGene00000008,SLC7A9
caenorhabditis_elegans_prjna13758,WBGene00000009,SLC7A6
